hiring_id,hiring_date,joining_date,hiring_mode,employee_id,store_office_id,ctc,interviews,relocation_cost,hiring_cost
262,24-12-2020,10-01-2021,Search Engine,RP-19390,FUR-FU-10003096,56896.2,2,200,522.91
265,19-11-2022,09-12-2022,Newspaper/Magazine,DJ-13630,OFF-BI-10003305,56175.84,1,200,474.66
267,05-07-2020,23-07-2020,Search Engine,MC-17845,TEC-AC-10003911,77128.65,1,0,1073.76
269,21-06-2020,08-07-2020,Employee Referral,NP-18325,FUR-FU-10004071,60210.45,1,0,546.25
270,28-03-2021,17-04-2021,Newspaper/Magazine,AB-10165,TEC-AC-10002253,63010.8,1,0,554.74
271,14-05-2021,01-06-2021,Search Engine,JO-15550,OFF-AR-10003373,64452.24,3,200,541.4
272,09-04-2021,29-04-2021,Newspaper/Magazine,JK-15370,FUR-TA-10002774,72176.04,1,200,477
273,12-09-2020,02-10-2020,Newspaper/Magazine,BN-11470,OFF-PA-10001800,55996.56,1,200,435.52
274,02-12-2020,19-12-2020,Search Engine,DP-13165,TEC-AC-10003628,60928.2,2,0,614.13
275,05-04-2020,22-04-2020,Search Engine,TH-21550,OFF-PA-10004071,58026.6,1,0,591.52
278,11-01-2020,29-01-2020,Search Engine,SV-20365,FUR-FU-10000010,55977.3,1,0,471.33
279,02-06-2020,22-06-2020,Newspaper/Magazine,CK-12325,OFF-BI-10001658,58221.36,1,200,576.75
280,13-02-2022,04-03-2022,Newspaper/Magazine,RD-19810,OFF-PA-10004092,62136.9,1,0,791.64
281,07-10-2020,28-10-2020,Newspaper/Magazine,MR-17545,FUR-FU-10000222,61376.4,2,200,501.45
282,07-07-2022,27-07-2022,Newspaper/Magazine,SC-20695,OFF-SU-10004664,57581.28,3,200,485.51
284,03-12-2022,21-12-2022,Search Engine,EG-13900,OFF-PA-10001954,63752.4,3,0,829.2
286,04-01-2020,23-01-2020,Newspaper/Magazine,PO-19195,OFF-LA-10003223,56060.28,1,200,446.09
287,27-08-2022,16-09-2022,Newspaper/Magazine,SS-20875,OFF-SU-10004498,57848.4,2,200,459
288,20-03-2022,06-04-2022,Employee Referral,PB-19105,TEC-PH-10000004,56069.64,1,200,503.6
290,07-04-2022,24-04-2022,Search Engine,YC-21895,TEC-CO-10002095,109528.92,1,200,1915.97
291,29-12-2020,17-01-2021,Newspaper/Magazine,DC-13285,OFF-ST-10002444,56635.2,1,0,441.51
294,08-02-2021,28-02-2021,Newspaper/Magazine,LH-17020,TEC-PH-10003931,60389.19,1,400,407
295,13-01-2020,30-01-2020,Employee Referral,CS-12250,OFF-EN-10001990,56041.2,1,0,481.36
296,14-05-2020,04-06-2020,Newspaper/Magazine,AJ-10795,FUR-FU-10004306,69519.6,1,200,551.26
298,29-06-2020,21-07-2020,Newspaper/Magazine,DL-12865,OFF-AR-10003405,57004.2,3,200,485.74
299,03-10-2021,21-10-2021,Employee Referral,BM-11785,OFF-BI-10001098,56973.15,2,700,468
300,12-12-2021,31-12-2021,Newspaper/Magazine,LT-17110,FUR-CH-10004675,71231.76,1,200,568.57
301,20-05-2022,04-06-2022,Social Networks,JK-15730,TEC-PH-10001530,116908.2,2,200,751.99
302,20-09-2020,11-10-2020,Newspaper/Magazine,ES-14020,OFF-LA-10001569,55978.2,1,0,445.33
304,27-11-2021,18-12-2021,Newspaper/Magazine,CD-11920,FUR-CH-10002647,68306.4,2,200,490.98
306,12-03-2022,01-04-2022,Newspaper/Magazine,MC-18130,OFF-PA-10003953,56113.2,1,0,467.88
309,20-03-2021,07-04-2021,Search Engine,BW-11110,OFF-PA-10000061,57862.8,3,0,559.53
311,09-05-2020,30-05-2020,Newspaper/Magazine,PG-18820,TEC-AC-10003441,58581,2,0,432.27
313,20-11-2021,10-12-2021,Newspaper/Magazine,BM-11650,OFF-AR-10004648,58250.25,1,0,477.29
314,07-11-2022,24-11-2022,Search Engine,EM-14095,OFF-BI-10001294,57214.8,2,200,459.8
315,13-10-2021,01-11-2021,Newspaper/Magazine,AF-10885,TEC-PH-10001552,59297.4,3,0,521.77
317,07-02-2020,27-02-2020,Newspaper/Magazine,CK-12760,TEC-AC-10000710,60721.2,3,0,621.42
318,20-06-2022,10-07-2022,Employee Referral,DP-13105,OFF-AR-10002335,55762.2,1,0,472.37
319,03-08-2020,23-08-2020,Newspaper/Magazine,BK-11260,OFF-PA-10001019,57328.2,1,0,526.12
321,09-06-2020,01-07-2020,Newspaper/Magazine,CM-12445,OFF-SU-10001225,55861.2,1,0,429.59
322,10-01-2020,30-01-2020,Newspaper/Magazine,AJ-10780,OFF-LA-10004272,55660.05,1,0,497.43
323,29-09-2022,17-10-2022,Search Engine,LS-16945,OFF-LA-10004853,56247.12,2,200,425.72
324,06-04-2020,25-04-2020,Newspaper/Magazine,GP-14740,OFF-BI-10003719,57550.95,2,700,417
325,03-09-2022,20-09-2022,Search Engine,PK-18910,OFF-BI-10000545,106896.15,2,700,448
326,10-12-2020,30-12-2020,Newspaper/Magazine,SM-20005,OFF-PA-10004470,56041.2,1,0,477.9
327,17-09-2020,06-10-2020,Newspaper/Magazine,AG-10765,OFF-BI-10003712,55795.14,2,700,482
328,22-10-2022,08-11-2022,Search Engine,PM-19135,FUR-FU-10000732,56943,2,0,526.19
329,29-04-2020,19-05-2020,Newspaper/Magazine,LL-16840,FUR-FU-10001424,56315.7,1,0,514.75
330,25-04-2021,13-05-2021,Employee Referral,JS-15595,OFF-BI-10002071,56157.48,1,200,420.13
332,10-11-2022,27-11-2022,Search Engine,PC-18745,OFF-ST-10002205,62541.9,3,0,620.29
333,03-10-2022,21-10-2022,Employee Referral,HL-15040,OFF-EN-10001099,56234.16,1,200,473.34
334,09-09-2020,30-09-2020,Newspaper/Magazine,MS-17365,OFF-LA-10003923,60192,3,0,639.2
336,10-04-2022,27-04-2022,Search Engine,JR-16210,OFF-BI-10004716,55930.68,1,700,437
338,31-05-2021,22-06-2021,Newspaper/Magazine,SC-20050,FUR-FU-10001935,56529,2,0,520.41
339,05-03-2022,26-03-2022,Newspaper/Magazine,RW-19630,OFF-EN-10000056,62250.84,1,200,623.63
340,11-04-2021,30-04-2021,Newspaper/Magazine,SE-20110,TEC-AC-10002473,59361.3,1,0,556.63
341,15-09-2022,05-10-2022,Newspaper/Magazine,AH-10075,OFF-BI-10003650,93400.56,1,200,1642.2
342,13-09-2020,01-10-2020,Search Engine,JM-15535,OFF-PA-10003543,56229.84,1,200,501.77
343,05-10-2021,24-10-2021,Newspaper/Magazine,JJ-15760,OFF-AR-10000658,57609,2,0,471.74
345,20-06-2022,09-07-2022,Newspaper/Magazine,CG-12040,OFF-PA-10001745,57557.52,3,200,513.83
346,13-12-2021,01-01-2022,Newspaper/Magazine,RP-19270,OFF-PA-10000289,56113.2,1,0,523.88
347,19-06-2022,05-07-2022,Search Engine,KC-16255,OFF-PA-10000350,56300.4,1,0,523.19
352,22-09-2021,07-10-2021,Social Networks,DL-12925,FUR-FU-10004188,64737,1,0,612.78
354,27-11-2021,16-12-2021,Newspaper/Magazine,TB-21190,OFF-BI-10000145,55810.8,1,0,504.23
356,30-05-2022,15-06-2022,Search Engine,RW-19690,OFF-BI-10000848,55677.69,1,700,473
357,11-11-2020,29-11-2020,Employee Referral,TZ-21580,OFF-AR-10000034,55682.64,1,200,470.22
359,10-03-2021,25-03-2021,Social Networks,TS-21340,OFF-BI-10004022,55580.04,1,800,469
360,29-03-2021,15-04-2021,Employee Referral,SL-20155,FUR-CH-10004086,108041.4,2,200,971.11
361,21-05-2020,09-06-2020,Newspaper/Magazine,MW-18235,OFF-BI-10003925,177746.85,3,0,5531.95
362,28-10-2021,18-11-2021,Newspaper/Magazine,RD-19585,OFF-EN-10003862,56010.15,1,0,476.63
